gpu_type,task,system,concurrency,ttft_ms_mean,ttft_ms_std,tpot_ms_mean,tpot_ms_std,tokens_per_sec_mean,tokens_per_sec_std,total_latency_ms_mean,acceptance_rate_mean
L4,chat,baseline,1,127.62666666666667,88.47605909698585,59.22666666666667,0.025166114784234122,16.80666666666667,0.09237604307034021,15229.876666666669,
L4,chat,baseline,4,145.21,45.72827690927035,61.455000000000005,0.029076701075852886,16.186666666666667,0.042283315715288726,15816.289166666667,
L4,chat,baseline,8,175.24375,52.03619182106941,62.33833333333333,0.2196571768969078,15.927916666666667,0.0895874198596063,16071.48625,
L4,chat,baseline,16,224.73729166666666,61.63067106492613,63.470416666666665,0.6556009370436273,15.563958333333334,0.18874433437553842,14686.406666666668,
L4,chat,baseline,32,393.14927083333333,235.64460226207643,71.25729166666666,1.9936190203360362,13.706458333333332,0.5046707716118476,16489.629166666666,
L4,chat,eagle3,1,265.67,291.660097373638,38.71,0.35510561809129365,25.276666666666667,0.9324340906108769,10136.906666666668,0.1977
L4,chat,eagle3,4,640.2533333333333,537.6720188221091,29.40833333333333,9.359858034406422,34.365,10.85507882807105,8139.259166666667,0.30443333333333333
L4,chat,eagle3,8,233.45291666666665,70.84909937626261,29.060833333333335,8.443183984558281,35.88041666666667,9.372620847872328,7641.034166666667,0.3629
L4,chat,eagle3,16,333.2814583333333,112.99227213246844,27.991666666666664,7.456181023888362,35.47416666666667,8.05410502796049,6800.771250000001,0.3977333333333333
L4,chat,eagle3,32,563.8406249999999,230.460023156489,37.095104166666665,6.82917980661956,25.657395833333336,4.472649337283021,8945.201145833335,0.42073333333333335
L4,code,baseline,1,76.63666666666667,5.458070477131397,59.18333333333334,0.005773502691898186,16.876666666666665,0.0057735026918953655,15168.269999999999,
L4,code,baseline,4,151.35666666666665,66.43107409985635,61.58583333333333,0.15441728196577173,16.143333333333334,0.0843513575181322,15640.275833333333,
L4,code,baseline,8,194.30916666666667,82.74649820078642,62.462916666666665,0.27543608375062834,15.880833333333333,0.12683150982330071,16122.260416666666,
L4,code,baseline,16,262.035625,140.99434583361085,64.374375,0.23181895219275123,15.347916666666668,0.1297125846243497,16542.673333333332,
L4,code,baseline,32,416.51406249999997,294.7351714678187,72.20031250000001,0.618846895656072,13.5990625,0.290951535573592,18494.66125,
L4,code,eagle3,1,96.63,2.6069714229350565,20.27,0.0,48.616666666666674,0.023094010767587103,5265.443333333334,0.42700000000000005
L4,code,eagle3,4,183.08,83.32674917019581,20.729166666666668,1.3118651422745988,46.895,2.717406852129437,5260.9225,0.4342
L4,code,eagle3,8,232.51583333333335,94.02760394492239,21.815416666666668,1.3416666441623906,44.288333333333334,2.7545040848804687,5688.145416666666,0.448
L4,code,eagle3,16,367.4589583333333,155.10877457434722,23.6075,2.103598234434249,40.27520833333333,3.1084955583891114,6252.774375,0.46943333333333337
L4,code,eagle3,32,604.9436458333333,291.9061922320424,32.74364583333333,2.459375239361096,28.6946875,2.2242074652972956,8760.924583333333,0.49560000000000004
L4,summarization,baseline,1,107.03666666666668,54.399563723740776,59.376666666666665,0.01154700538379227,16.73,0.1299999999999995,7172.956666666666,
L4,summarization,baseline,4,199.45583333333332,144.59208097631284,62.112500000000004,0.4556538758152451,15.823333333333332,0.325809016375415,7902.04,
L4,summarization,baseline,8,237.755,129.8988635355448,62.80916666666667,0.11294156498583258,15.547916666666666,0.28555025700454684,7436.59125,
L4,summarization,baseline,16,405.4322916666667,326.4975204313625,65.963125,1.505943058246498,14.547708333333333,0.7713134406704373,7874.470416666667,
L4,summarization,baseline,32,659.0861458333333,638.1530270865488,76.181875,3.4388677183355796,12.414583333333333,1.1008856880919171,9506.020208333333,
L4,summarization,eagle3,1,129.10333333333332,54.778084425555924,24.076666666666664,0.0057735026918953655,40.083333333333336,0.7303652054508973,2994.556666666667,0.5036
L4,summarization,eagle3,4,265.49833333333333,143.20346896720912,30.018333333333334,3.161742423334822,31.6925,3.4008665339613344,4034.8141666666666,0.5017
L4,summarization,eagle3,8,294.68083333333334,172.32014951743204,28.58,3.340739308960636,32.65,3.1677189708465097,3622.9954166666666,0.4988333333333334
L4,summarization,eagle3,16,497.1489583333334,344.5192906141466,32.6775,3.7131035937436936,27.726041666666664,3.7071929735188873,4202.027708333333,0.49416666666666664
L4,summarization,eagle3,32,845.4202083333333,656.9956237889646,45.80020833333333,5.805384611070669,19.535,3.21308312340262,6184.690416666667,0.48550000000000004
