-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        54.31%        2.970s        55.21%        3.019s      77.418ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        25.00%        1.367s        27.28%        1.492s      38.255ms       1.51 GB      -9.13 GB            39            --  
                                             aten::add_         4.42%     241.957ms         4.42%     241.957ms       1.512ms           0 B           0 B           160            --  
                                            aten::copy_         2.62%     143.152ms         2.62%     143.152ms     954.347us           0 B           0 B           150            --  
                                               aten::mm         2.23%     121.917ms         2.23%     121.919ms       6.773ms       1.35 GB       1.35 GB            18  14442823.680  
                               aten::threshold_backward         2.14%     116.904ms         2.14%     116.904ms       2.598ms       1.51 GB       1.51 GB            45            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         1.97%     107.832ms         1.97%     107.847ms      21.569ms      17.23 MB      17.23 MB             5            --  
                          aten::max_pool2d_with_indices         1.86%     101.612ms         1.86%     101.612ms       6.774ms     525.41 MB     525.41 MB            15            --  
                                             aten::mul_         1.28%      70.007ms         1.28%      70.242ms       1.098ms           0 B        -256 B            64            --  
                                            aten::addmm         1.22%      66.541ms         1.22%      66.658ms       7.406ms     983.44 KB     983.44 KB             9   7221411.840  
                                            aten::fill_         0.98%      53.710ms         0.98%      53.710ms     380.925us           0 B           0 B           141            --  
                 aten::max_pool2d_with_indices_backward         0.73%      40.149ms         1.27%      69.548ms       4.637ms     700.55 MB     700.55 MB            15            --  
                                       aten::clamp_min_         0.54%      29.309ms         0.54%      29.309ms     651.318us           0 B           0 B            45            --  
                                              aten::sum         0.44%      23.983ms         0.44%      24.125ms     502.610us     147.84 KB     147.84 KB            48            --  
                                Optimizer.step#SGD.step         0.04%       2.226ms         6.10%     333.863ms     111.288ms     515.29 MB           0 B             3            --  
                    aten::_adaptive_avg_pool2d_backward         0.02%       1.196ms         0.02%       1.290ms     430.027us       2.87 MB           0 B             3            --  
                             aten::_adaptive_avg_pool2d         0.02%     917.124us         0.02%     928.250us     309.417us       2.87 MB           0 B             3            --  
                                          aten::resize_         0.02%     896.037us         0.02%     896.037us       6.788us       2.68 GB       2.68 GB           132            --  
                                            aten::empty         0.01%     789.575us         0.01%     789.575us       3.121us      18.27 GB      18.27 GB           253            --  
                                            aten::relu_         0.01%     760.501us         0.55%      30.070ms     668.218us           0 B           0 B            45            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     743.504us        55.23%        3.021s      77.458ms    -532.15 MB      -1.68 GB            39            --  
                                       aten::bernoulli_         0.01%     578.080us         0.01%     578.080us      96.347us           0 B           0 B             6            --  
                             aten::convolution_backward         0.01%     491.863us        55.22%        3.020s      77.431ms       1.16 GB           0 B            39            --  
