-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.01%     123.417us         0.05%     675.667us     225.222us       4.67 MB    -263.44 KB             3            --  
                              aten::_local_scalar_dense         0.01%     103.958us         0.01%     103.958us      12.995us           0 B           0 B             8            --  
      autograd::engine::evaluate_function: AddBackward0         0.01%     101.541us         0.01%     151.417us       3.155us           0 B           0 B            48            --  
                                       aten::resize_as_         0.01%      98.135us         0.04%     544.879us       3.493us       1.17 GB           0 B           156            --  
                                               aten::to         0.01%      88.096us         0.05%     694.462us       2.037us       1.28 KB           0 B           341            --  
                                aten::nll_loss_backward         0.00%      66.500us         0.00%      68.417us      22.806us      23.44 KB      23.44 KB             3            --  
                                           AddBackward0         0.00%      49.876us         0.00%      49.876us       1.039us           0 B           0 B            48            --  
                                                aten::t         0.00%      36.045us         0.01%      82.709us       5.514us           0 B           0 B            15            --  
                                        aten::transpose         0.00%      35.165us         0.00%      46.664us       3.111us           0 B           0 B            15            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.472s
