-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          MeanBackward1         0.00%       7.333us         0.06%     785.081us     261.694us      11.48 MB           0 B             3            --  
                                       NllLossBackward0         0.00%       7.251us         0.00%      50.376us      16.792us      23.44 KB           0 B             3            --  
                                      aten::log_softmax         0.00%       6.916us         0.00%      55.748us      18.583us      23.44 KB           0 B             3            --  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       6.749us         0.00%      54.249us      18.083us     -23.44 KB     -46.88 KB             3            --  
                                       aten::max_pool2d         0.00%       6.667us         1.38%      18.860ms       6.287ms      68.91 MB           0 B             3            --  
                              aten::_local_scalar_dense         0.00%       6.042us         0.00%       6.042us       0.755us           0 B           0 B             8            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       5.959us         0.06%     791.040us     263.680us      11.25 MB    -240.00 KB             3            --  
                                    aten::scalar_tensor         0.00%       5.667us         0.00%       5.667us       0.945us          48 B          48 B             6            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.364s
