-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::unflatten         0.00%     102.211us         0.01%     224.043us       6.223us           0 B           0 B            36            --  
                                    UnsafeViewBackward0         0.00%     102.136us         0.01%     247.672us       3.440us           0 B           0 B            72            --  
                                             TBackward0         0.00%      96.667us         0.01%     445.915us       3.033us           0 B           0 B           147            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%      93.783us         0.01%     341.455us       4.742us           0 B           0 B            72            --  
                                           AddBackward0         0.00%      93.628us         0.00%      93.628us       0.843us           0 B           0 B           111            --  
                                       SqueezeBackward1         0.00%      76.457us         0.01%     233.998us       6.500us           0 B           0 B            36            --  
                                     aten::resolve_conj         0.00%      68.174us         0.00%      68.174us       0.066us           0 B           0 B          1035            --  
                                     UnsqueezeBackward0         0.00%      54.125us         0.00%     153.918us       4.275us           0 B           0 B            36            --  
                                          aten::dropout         0.00%      51.248us         0.00%      51.248us       0.462us           0 B           0 B           111            --  
                                     aten::_log_softmax         0.00%      51.042us         0.00%      51.042us      17.014us      23.44 KB      23.44 KB             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.230s
