-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.00%      42.534us         0.00%     227.782us       2.744us         280 B           0 B            83            --  
                                       aten::resize_as_         0.00%      42.002us         0.00%     161.791us       4.494us    1022.11 MB           0 B            36            --  
                                          aten::reshape         0.00%      41.620us         0.00%      80.580us       1.919us           0 B           0 B            42            --  
                                         aten::randperm         0.00%      40.168us         0.00%      77.169us       6.431us         480 B         -48 B            12            --  
                       aten::_log_softmax_backward_data         0.00%      39.500us         0.00%      39.500us      13.167us      23.44 KB      23.44 KB             3            --  
                                           aten::linear         0.00%      29.497us         0.96%      45.237ms       5.026ms     983.44 KB           0 B             9            --  
                                 aten::nll_loss_forward         0.00%      24.125us         0.00%      24.125us       8.042us          24 B          24 B             3            --  
                               aten::cross_entropy_loss         0.00%      22.626us         0.00%     117.543us      39.181us      23.46 KB           0 B             3            --  
                                          aten::random_         0.00%      22.543us         0.00%      22.543us       5.636us           0 B           0 B             4            --  
      autograd::engine::evaluate_function: MulBackward0         0.00%      19.252us         0.00%     126.918us      21.153us    -960.00 KB      -1.88 MB             6            --  
                                    LogSoftmaxBackward0         0.00%      18.625us         0.00%      58.125us      19.375us      23.44 KB           0 B             3            --  
                                       aten::empty_like         0.00%      16.417us         0.00%      41.042us       4.560us     960.01 KB           0 B             9            --  
                                aten::_nnpack_available         0.00%      15.591us         0.00%      15.591us       0.200us           0 B           0 B            78            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      13.542us         0.01%     569.956us     189.985us      -2.87 MB      -5.74 MB             3            --  
                                           MulBackward0         0.00%      12.959us         0.00%     107.666us      17.944us     960.00 KB           0 B             6            --  
                                           aten::expand         0.00%      11.915us         0.00%      16.665us       1.852us           0 B           0 B             9            --  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      11.292us         0.00%      65.167us      21.722us      23.43 KB         -12 B             3            --  
                                          aten::flatten         0.00%      11.209us         0.00%      24.292us       8.097us           0 B           0 B             3            --  
                                             aten::item         0.00%      11.167us         0.00%      16.751us       2.094us           0 B           0 B             8            --  
                                       NllLossBackward0         0.00%       8.958us         0.00%      53.875us      17.958us      23.44 KB           0 B             3            --  
                                      aten::log_softmax         0.00%       8.167us         0.00%      56.333us      18.778us      23.44 KB           0 B             3            --  
                                             aten::set_         0.00%       8.083us         0.00%       8.083us       1.347us           0 B           0 B             6            --  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       7.999us         0.00%      66.124us      22.041us     -23.44 KB     -46.88 KB             3            --  
                                         aten::nll_loss         0.00%       7.834us         0.00%      31.959us      10.653us          24 B           0 B             3            --  
                              aten::adaptive_avg_pool2d         0.00%       7.748us         0.01%     540.123us     180.041us       2.87 MB           0 B             3            --  
        autograd::engine::evaluate_function: TBackward0         0.00%       7.375us         0.00%      37.541us       4.171us           0 B           0 B             9            --  
                                      aten::nll_loss_nd         0.00%       6.625us         0.00%      38.584us      12.861us          24 B           0 B             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.695s
