-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::narrow         0.01%     172.084us         0.01%     200.875us      16.740us           0 B           0 B            12            --  
                                          GeluBackward0         0.00%     161.463us         3.24%     107.212ms       2.978ms     831.09 MB           0 B            36            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     137.280us         0.02%     584.027us       3.973us           0 B           0 B           147            --  
                                           aten::expand         0.00%     122.498us         0.00%     146.459us       1.285us           0 B           0 B           114            --  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     112.460us         0.01%     429.249us       5.962us           0 B           0 B            72            --  
                                    UnsafeViewBackward0         0.00%     111.623us         0.01%     255.457us       3.548us           0 B           0 B            72            --  
                                               aten::to         0.00%     103.343us         0.02%     618.045us       1.950us       1.19 KB           0 B           317            --  
                                        aten::unflatten         0.00%      98.503us         0.01%     215.542us       5.987us           0 B           0 B            36            --  
                                             TBackward0         0.00%      95.246us         0.01%     446.747us       3.039us           0 B           0 B           147            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%      90.626us         0.01%     346.083us       4.807us           0 B           0 B            72            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.308s
