-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::log_softmax         0.00%      47.709us         0.01%     295.582us      29.558us     312.50 KB           0 B            10            --  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      46.373us         0.01%     291.207us      29.121us     312.46 KB         -40 B            10            --  
                                          MeanBackward1         0.00%      44.542us         0.06%       2.656ms     265.579us      30.62 MB           0 B            10            --  
                                         aten::nll_loss         0.00%      37.000us         0.00%     123.626us      12.363us          80 B           0 B            10            --  
                                      aten::nll_loss_nd         0.00%      33.663us         0.00%     157.289us      15.729us          80 B           0 B            10            --  
                                             aten::item         0.00%      33.497us         0.00%      52.624us       4.385us           0 B           0 B            12            --  
                                             aten::set_         0.00%      29.378us         0.00%      29.378us       1.469us           0 B           0 B            20            --  
                              aten::adaptive_avg_pool2d         0.00%      26.750us         0.02%     834.206us      83.421us     640.00 KB           0 B            10            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      25.206us         0.06%       2.681ms     268.099us      30.00 MB    -640.00 KB            10            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.806s
