-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        55.21%        2.616s        56.29%        2.667s      68.394ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        24.78%        1.174s        25.87%        1.226s      31.435ms       1.51 GB      -9.13 GB            39            --  
                                             aten::add_         5.00%     236.967ms         5.00%     236.967ms       1.481ms           0 B           0 B           160            --  
                               aten::threshold_backward         2.36%     111.680ms         2.36%     111.680ms       2.482ms       1.51 GB       1.51 GB            45            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         2.24%     105.997ms         2.24%     106.009ms      21.202ms      17.23 MB      17.23 MB             5            --  
                                               aten::mm         1.92%      90.894ms         1.92%      90.896ms       5.050ms       1.35 GB       1.35 GB            18  14442823.680  
                          aten::max_pool2d_with_indices         1.82%      86.459ms         1.82%      86.459ms       5.764ms     525.41 MB     525.41 MB            15            --  
                                            aten::copy_         1.54%      73.032ms         1.54%      73.032ms     486.881us           0 B           0 B           150            --  
                                             aten::mul_         1.06%      50.354ms         1.20%      56.665ms     885.383us           0 B        -256 B            64            --  
                                            aten::addmm         0.89%      42.303ms         0.90%      42.409ms       4.712ms     983.44 KB     983.44 KB             9   7221411.840  
                                            aten::fill_         0.82%      39.085ms         0.82%      39.085ms     277.198us           0 B           0 B           141            --  
                                       aten::clamp_min_         0.65%      30.635ms         0.65%      30.635ms     680.778us           0 B           0 B            45            --  
                                              aten::sum         0.51%      24.351ms         0.52%      24.506ms     510.532us     147.84 KB     147.84 KB            48            --  
                                Optimizer.step#SGD.step         0.43%      20.406ms         7.09%     336.095ms     112.032ms     515.29 MB           0 B             3            --  
                 aten::max_pool2d_with_indices_backward         0.42%      19.681ms         0.69%      32.701ms       2.180ms     700.55 MB     700.55 MB            15            --  
                                    aten::empty_strided         0.13%       6.015ms         0.13%       6.015ms      54.185us     516.23 MB     516.23 MB           111            --  
                                          aten::resize_         0.02%     833.668us         0.02%     833.668us       6.316us       2.68 GB       2.68 GB           132            --  
                                            aten::relu_         0.02%     829.204us         0.66%      31.464ms     699.205us           0 B           0 B            45            --  
                                            aten::empty         0.02%     805.538us         0.02%     805.538us       3.184us      18.27 GB      18.27 GB           253            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     627.499us        56.32%        2.669s      68.430ms    -532.15 MB      -1.68 GB            39            --  
                             aten::_adaptive_avg_pool2d         0.01%     470.330us         0.01%     480.914us     160.305us       2.87 MB           0 B             3            --  
                             aten::convolution_backward         0.01%     467.290us        56.30%        2.668s      68.406ms       1.16 GB           0 B            39            --  
                                       aten::bernoulli_         0.01%     459.458us         0.01%     459.458us      76.576us           0 B           0 B             6            --  
