-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        57.41%        2.647s        58.39%        2.692s      69.030ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        25.97%        1.198s        27.24%        1.256s      32.205ms       1.51 GB      -9.13 GB            39            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         2.38%     109.783ms         2.38%     109.797ms      21.959ms      17.23 MB      17.23 MB             5            --  
                               aten::threshold_backward         2.30%     105.955ms         2.30%     105.955ms       2.355ms       1.51 GB       1.51 GB            45            --  
                                             aten::add_         1.99%      91.735ms         1.99%      91.735ms     573.347us           0 B           0 B           160            --  
                                               aten::mm         1.94%      89.531ms         1.94%      89.533ms       4.974ms       1.35 GB       1.35 GB            18  14442823.680  
                          aten::max_pool2d_with_indices         1.92%      88.527ms         1.92%      88.527ms       5.902ms     525.41 MB     525.41 MB            15            --  
                                            aten::copy_         1.56%      71.776ms         1.56%      71.776ms     478.505us           0 B           0 B           150            --  
                                            aten::addmm         1.25%      57.713ms         1.25%      57.817ms       6.424ms     983.44 KB     983.44 KB             9   7221411.840  
                 aten::max_pool2d_with_indices_backward         0.74%      34.148ms         0.97%      44.828ms       2.989ms     700.55 MB     700.55 MB            15            --  
                                            aten::fill_         0.69%      31.698ms         0.69%      31.698ms     224.808us           0 B           0 B           141            --  
                                       aten::clamp_min_         0.65%      29.829ms         0.65%      29.829ms     662.871us           0 B           0 B            45            --  
                                              aten::sum         0.51%      23.412ms         0.51%      23.552ms     490.662us     147.84 KB     147.84 KB            48            --  
                                             aten::mul_         0.45%      20.785ms         0.46%      21.011ms     328.295us           0 B        -256 B            64            --  
                                Optimizer.step#SGD.step         0.03%       1.447ms         2.79%     128.608ms      42.869ms     515.29 MB           0 B             3            --  
                                          aten::resize_         0.02%     811.117us         0.02%     811.117us       6.145us       2.68 GB       2.68 GB           132            --  
                                            aten::relu_         0.02%     769.748us         0.66%      30.599ms     679.977us           0 B           0 B            45            --  
                                            aten::empty         0.02%     718.333us         0.02%     718.333us       2.839us      18.27 GB      18.27 GB           253            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     611.995us        58.42%        2.694s      69.065ms    -532.15 MB      -1.68 GB            39            --  
                             aten::_adaptive_avg_pool2d         0.01%     598.079us         0.01%     607.747us     202.582us       2.87 MB           0 B             3            --  
                    aten::_adaptive_avg_pool2d_backward         0.01%     502.207us         0.01%     569.789us     189.930us       2.87 MB           0 B             3            --  
                             aten::convolution_backward         0.01%     456.377us        58.40%        2.693s      69.042ms       1.16 GB           0 B            39            --  
                                       aten::bernoulli_         0.01%     438.705us         0.01%     438.705us      73.118us           0 B           0 B             6            --  
