-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       7.999us         0.00%      60.329us      20.110us     -23.44 KB     -46.88 KB             3            --  
                                             aten::set_         0.00%       7.666us         0.00%       7.666us       1.278us           0 B           0 B             6            --  
                                      aten::log_softmax         0.00%       7.209us         0.00%      52.455us      17.485us      23.44 KB           0 B             3            --  
                                       NllLossBackward0         0.00%       6.750us         0.00%      45.748us      15.249us      23.44 KB           0 B             3            --  
                                          MeanBackward1         0.00%       6.583us         0.05%     689.872us     229.957us      11.48 MB           0 B             3            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       6.583us         0.05%     696.455us     232.152us      11.25 MB    -240.00 KB             3            --  
                              aten::_local_scalar_dense         0.00%       5.835us         0.00%       5.835us       0.729us           0 B           0 B             8            --  
                              aten::adaptive_avg_pool2d         0.00%       5.752us         0.02%     262.360us      87.453us     240.00 KB           0 B             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.406s
