-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       NllLossBackward0         0.00%       7.291us         0.00%      52.000us      17.333us      23.44 KB           0 B             3            --  
                                          MeanBackward1         0.00%       7.126us         0.06%     833.041us     277.680us      11.48 MB           0 B             3            --  
                                             aten::set_         0.00%       6.792us         0.00%       6.792us       1.132us           0 B           0 B             6            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       6.751us         0.06%     839.792us     279.931us      11.25 MB    -240.00 KB             3            --  
                                      aten::log_softmax         0.00%       6.749us         0.00%      66.666us      22.222us      23.44 KB           0 B             3            --  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       6.542us         0.00%      55.167us      18.389us     -23.44 KB     -46.88 KB             3            --  
                              aten::_local_scalar_dense         0.00%       5.830us         0.00%       5.830us       0.729us           0 B           0 B             8            --  
                              aten::adaptive_avg_pool2d         0.00%       5.499us         0.02%     282.208us      94.069us     240.00 KB           0 B             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.455s
