-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        49.27%        2.830s        50.27%        2.888s      74.056ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        26.57%        1.527s        30.16%        1.733s      44.428ms       1.51 GB      -9.13 GB            39            --  
                                            aten::addmm         4.21%     241.810ms         4.21%     241.924ms      26.880ms     983.44 KB     983.44 KB             9   7221411.840  
                                            aten::copy_         3.89%     223.559ms         3.89%     223.559ms       1.490ms           0 B           0 B           150            --  
                                             aten::add_         2.99%     171.995ms         2.99%     171.995ms       1.075ms           0 B           0 B           160            --  
                                             aten::mul_         2.75%     158.106ms         2.76%     158.345ms       2.474ms           0 B        -256 B            64            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         2.27%     130.142ms         2.27%     130.159ms      26.032ms      17.23 MB      17.23 MB             5            --  
                          aten::max_pool2d_with_indices         2.18%     125.340ms         2.18%     125.340ms       8.356ms     525.41 MB     525.41 MB            15            --  
                               aten::threshold_backward         1.87%     107.704ms         1.87%     107.704ms       2.393ms       1.51 GB       1.51 GB            45            --  
                                               aten::mm         1.60%      91.666ms         1.60%      91.668ms       5.093ms       1.35 GB       1.35 GB            18  14442823.680  
                                            aten::fill_         0.89%      50.865ms         0.89%      50.865ms     360.745us           0 B           0 B           141            --  
                                       aten::clamp_min_         0.52%      29.926ms         0.52%      29.926ms     665.029us           0 B           0 B            45            --  
                                              aten::sum         0.41%      23.527ms         0.41%      23.653ms     492.779us     147.84 KB     147.84 KB            48            --  
                 aten::max_pool2d_with_indices_backward         0.35%      20.205ms         0.65%      37.613ms       2.508ms     700.55 MB     700.55 MB            15            --  
                                Optimizer.step#SGD.step         0.03%       1.964ms         6.11%     351.236ms     117.079ms     515.29 MB           0 B             3            --  
                                          aten::resize_         0.02%     944.078us         0.02%     944.078us       7.152us       2.68 GB       2.68 GB           132            --  
                                            aten::relu_         0.02%     885.164us         0.54%      30.811ms     684.699us           0 B           0 B            45            --  
                                            aten::empty         0.01%     771.077us         0.01%     771.077us       3.048us      18.27 GB      18.27 GB           253            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     647.373us        50.30%        2.890s      74.092ms    -532.15 MB      -1.68 GB            39            --  
                                      aten::convolution         0.01%     582.954us        30.18%        1.734s      44.462ms       1.51 GB           0 B            39            --  
                                    aten::empty_strided         0.01%     543.875us         0.01%     543.875us       4.900us     516.23 MB     516.23 MB           111            --  
                             aten::_adaptive_avg_pool2d         0.01%     519.626us         0.01%     535.541us     178.514us       2.87 MB           0 B             3            --  
                             aten::convolution_backward         0.01%     484.371us        50.28%        2.889s      74.068ms       1.16 GB           0 B            39            --  
