-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          GeluBackward0         0.00%     104.036us         4.00%     137.628ms       3.823ms     831.09 MB           0 B            36            --  
                                        aten::unflatten         0.00%     100.335us         0.01%     209.124us       5.809us           0 B           0 B            36            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%      91.834us         0.01%     337.670us       4.690us           0 B           0 B            72            --  
                                             TBackward0         0.00%      90.588us         0.01%     411.259us       2.798us           0 B           0 B           147            --  
                                           AddBackward0         0.00%      88.328us         0.00%      88.328us       0.796us           0 B           0 B           111            --  
                                       SqueezeBackward1         0.00%      67.456us         0.01%     214.999us       5.972us           0 B           0 B            36            --  
                                     aten::resolve_conj         0.00%      60.662us         0.00%      60.662us       0.059us           0 B           0 B          1035            --  
                                         aten::randperm         0.00%      60.249us         0.00%     124.585us      10.382us         480 B         -48 B            12            --  
                                     UnsqueezeBackward0         0.00%      58.623us         0.00%     143.622us       3.989us           0 B           0 B            36            --  
                                       PermuteBackward0         0.00%      57.587us         0.00%     138.210us       3.544us           0 B           0 B            39            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.441s
