-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        48.40%        3.377s        49.30%        3.439s      88.180ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        27.01%        1.884s        29.66%        2.069s      53.062ms       1.51 GB      -9.13 GB            39            --  
                                             aten::add_         5.14%     358.738ms         5.14%     358.738ms       2.242ms           0 B           0 B           160            --  
                                            aten::copy_         3.19%     222.273ms         3.19%     222.273ms       1.482ms           0 B           0 B           150            --  
                                             aten::mul_         2.90%     202.556ms         2.91%     202.815ms       3.169ms           0 B        -256 B            64            --  
                                            aten::addmm         2.70%     188.202ms         2.70%     188.342ms      20.927ms     983.44 KB     983.44 KB             9   7221411.840  
                               aten::threshold_backward         1.73%     121.024ms         1.73%     121.024ms       2.689ms       1.51 GB       1.51 GB            45            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         1.72%     120.007ms         1.72%     120.027ms      24.005ms      17.23 MB      17.23 MB             5            --  
                                            aten::fill_         1.72%     119.675ms         1.72%     119.675ms     848.760us           0 B           0 B           141            --  
                          aten::max_pool2d_with_indices         1.61%     112.478ms         1.61%     112.478ms       7.499ms     525.41 MB     525.41 MB            15            --  
                                               aten::mm         1.47%     102.417ms         1.47%     102.419ms       5.690ms       1.35 GB       1.35 GB            18  14442823.680  
                 aten::max_pool2d_with_indices_backward         1.35%      94.252ms         2.52%     175.718ms      11.715ms     700.55 MB     700.55 MB            15            --  
                                       aten::clamp_min_         0.42%      29.291ms         0.42%      29.291ms     650.917us           0 B           0 B            45            --  
                                              aten::sum         0.33%      23.334ms         0.34%      23.457ms     488.693us     147.84 KB     147.84 KB            48            --  
                                Optimizer.step#SGD.step         0.05%       3.506ms         8.65%     603.506ms     201.169ms     515.29 MB           0 B             3            --  
     autograd::engine::evaluate_function: ReluBackward0         0.03%       2.220ms         1.77%     123.493ms       2.744ms      -1.51 GB      -3.03 GB            45            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.03%       2.098ms        49.34%        3.442s      88.252ms    -532.15 MB      -1.68 GB            39            --  
                      Optimizer.zero_grad#SGD.zero_grad         0.02%       1.552ms         0.02%       1.552ms     517.249us      -1.01 GB      -1.01 GB             3            --  
                                          aten::resize_         0.02%       1.097ms         0.02%       1.097ms       8.309us       2.68 GB       2.68 GB           132            --  
                             aten::_adaptive_avg_pool2d         0.01%     995.667us         0.01%       1.007ms     335.819us       2.87 MB           0 B             3            --  
                                            aten::empty         0.01%     946.204us         0.01%     946.204us       3.740us      18.27 GB      18.27 GB           253            --  
                                            aten::relu_         0.01%     841.328us         0.43%      30.133ms     669.614us           0 B           0 B            45            --  
