-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              aten::_local_scalar_dense         0.01%     109.418us         0.01%     109.418us      13.677us           0 B           0 B             8            --  
      autograd::engine::evaluate_function: AddBackward0         0.01%     100.248us         0.01%     154.538us       3.220us           0 B           0 B            48            --  
                                               aten::to         0.01%      92.163us         0.05%     707.905us       2.076us       1.28 KB           0 B           341            --  
                                aten::nll_loss_backward         0.00%      75.916us         0.01%      78.249us      26.083us      23.44 KB      23.44 KB             3            --  
                                           AddBackward0         0.00%      54.290us         0.00%      54.290us       1.131us           0 B           0 B            48            --  
                                          MeanBackward1         0.00%      51.085us         0.09%       1.386ms     462.166us      11.48 MB           0 B             3            --  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      42.667us         0.04%     609.290us     203.097us      23.43 KB         -12 B             3            --  
                                                aten::t         0.00%      38.918us         0.01%     199.083us      13.272us           0 B           0 B            15            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.529s
