-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       PermuteBackward0         0.01%     171.871us         0.01%     264.912us       6.793us           0 B           0 B            39            --  
                                          aten::resize_         0.01%     170.709us         0.01%     170.709us       1.836us      25.73 MB      25.73 MB            93            --  
                                           aten::expand         0.00%     130.335us         0.00%     149.041us       1.307us           0 B           0 B           114            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     130.035us         0.02%     550.497us       3.745us           0 B           0 B           147            --  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     125.333us         0.01%     311.377us       4.325us           0 B           0 B            72            --  
                                               aten::to         0.00%     115.036us         0.02%     647.322us       2.042us       1.19 KB           0 B           317            --  
                                        aten::unflatten         0.00%     109.416us         0.01%     229.289us       6.369us           0 B           0 B            36            --  
                                    UnsafeViewBackward0         0.00%     106.991us         0.01%     251.621us       3.495us           0 B           0 B            72            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%      89.295us         0.01%     340.916us       4.735us           0 B           0 B            72            --  
                                           AddBackward0         0.00%      88.998us         0.00%      88.998us       0.802us           0 B           0 B           111            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.354s
